Time,Country,CO2 emissions (kg per PPP $ of GDP),CO2,CO2 emissions (metric tons per capita),"from electricity and heat production, total (% of total fuel combustion)",from gaseous fuel consumption (% of total),from gaseous fuel consumption (kt) ,from liquid fuel consumption (% of total),from liquid fuel consumption (kt), from manufacturing industries and construction (% of total fuel combustion),"from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",from residential buildings and commercial and public services (% of total fuel combustion),from solid fuel consumption (% of total),from solid fuel consumption (kt),from transport (% of total fuel combustion),CO2 intensity (kg per kg of oil equivalent energy use),Pop
1999,United Kingdom,0.37372022,530937.596,9.047636069,41.95933817,36.32068956,192840.196,37.04105313,196664.877,12.31951924,1.482868961,19.90361352,24.52827582,130229.838,24.33075782,2.390977518,58682466
1999,United States,0.571577335,5504669.379,19.72716951,48.62973396,21.81406494,1200792.153,41.19111047,2267434.445,9.179973374,0.758684603,10.42924705,36.09157592,1986721.928,31.00217713,2.489790743,279040000
2000,Argentina,0.32349811,142136.587,3.854991948,32.2997416,48.89192745,69493.317,47.04986971,66875.079,19.43726672,5.419178869,13.95348837,1.166120585,1657.484,28.89032443,2.30903276,36870787
2000,Australia,0.653303316,329443.28,17.20060983,58.85270391,13.40048976,44147.013,27.61798753,90985.604,14.32925007,1.254855094,3.158051987,57.6658504,189976.269,22.40812668,3.047557031,19153000
2000,Brazil,0.206793654,327983.814,1.876441307,17.11539119,5.495181235,18023.305,71.35909304,234046.275,27.80267524,4.85443536,7.320994834,15.62576865,51249.992,42.90650337,1.749792159,174790340
2000,Canada,0.595065392,534380.909,17.41463895,36.61971831,31.82663473,170075.46,43.26446026,231197.016,15.99666776,1.931534184,16.40157313,22.86535783,122188.107,29.05050662,2.107013981,30685730
2000,China,0.918459861,3405179.867,2.696862433,51.03849394,1.757482492,59845.44,19.06556207,649216.681,28.93655628,2.605469509,8.881148338,70.43358773,2398390.349,8.538331929,2.999889313,1262645000
2000,France,0.227891772,362226.26,5.946665463,19.04539844,22.6149018,81917.113,59.26705811,214680.848,17.3419284,3.782745851,23.50020573,15.34521158,55584.386,36.32972157,1.437963392,60912500
2000,Germany,0.36982928,829977.779,10.09563988,44.83505662,19.82795566,164567.626,38.17935203,316880.138,12.64032496,1.361398326,19.81413097,39.52645833,328060.821,21.3478582,2.465923557,82211508
2000,India,0.452824357,1031853.463,0.976601686,55.21427609,4.255319149,43908.658,29.4375402,303752.278,21.04914424,4.492161179,8.569920489,61.41391455,633701.604,10.67562104,2.340356419,1056575549
2000,Indonesia,0.269534773,263418.945,1.24539825,34.98746671,18.46175263,48631.754,58.88076843,155103.099,22.83800721,4.437568541,13.18737271,15.95044199,42016.486,24.54566818,1.692316263,211513823
2000,Italy,0.292767135,450564.29,7.912673166,36.36363636,29.45226662,132701.396,55.67022056,250830.134,17.44902572,2.050867217,16.45690086,10.56889395,47619.662,27.67719065,2.626879457,56942108
