Time,Country,GDP,HCI,Pop,CO2
2001,Brazil,559000000000, ,177196054,337434
2001,Canada,736000000000, ,31020902,527927
2001,China,1340000000000, ,1271850000,3487566
2001,France,1380000000000, ,61357430,377536
2001,Germany,1950000000000, ,82349925,853663
2001,India,485000000000, ,1075000085,1041153
2001,Indonesia,160000000000, ,214427417,294907
2001,Italy,1160000000000, ,56974100,450348
2001,Japan,4300000000000, ,127149000,1203377
2001,Mexico,757000000000, ,100298153,412978
2001,Russian Federation,307000000000, ,145976083,1557507
2001,Saudi Arabia,184000000000, ,21202642,297214
2001,South Africa,122000000000, ,45571274,372043
2001,Turkey,200000000000, ,64192243,194553
2001,United Kingdom,1630000000000, ,59119673,545862
2001,United States,10600000000000, ,284968955,5595794
2002,Argentina,97724004252, ,37681749,124715
2002,Australia,395000000000, ,19651400,341354
2002,Brazil,508000000000, ,179537520,332267
2002,Canada,758000000000, ,31360079,519335
2002,China,1470000000000, ,1280400000,3850269
2002,France,1490000000000, ,61805267,375075
2002,Germany,2080000000000, ,82488495,829725
2002,India,515000000000, ,1093317189,1054259
2002,Indonesia,196000000000, ,217357793,306737
2002,Italy,1270000000000, ,57059007,452610
2002,Japan,4120000000000, ,127445000,1220048
2002,Mexico,772000000000, ,101684758,414389
2002,Russian Federation,345000000000, ,145306046,1557085
2002,Saudi Arabia,190000000000, ,21805313,326407
2002,South Africa,115000000000, ,46150913,356638
2002,Turkey,238000000000, ,65145367,205686
2002,United Kingdom,1770000000000, ,59370479,528642
2002,United States,10900000000000, ,287625193,5641309
2003,Argentina,128000000000, ,38087868,135063
2003,Australia,466000000000, ,19895400,336271
2003,Brazil,558000000000, ,181809246,321622
2003,Canada,892000000000, ,31644028,553101
2003,China,1660000000000, ,1288400000,4540417
2003,France,1840000000000, ,62244886,380690
2003,Germany,2510000000000, ,82534176,822812
2003,India,608000000000, ,1111523144,1099598
2003,Indonesia,235000000000, ,220309469,316792
2003,Italy,1570000000000, ,57313203,468349
2003,Japan,4450000000000, ,127718000,1242094
2003,Mexico,729000000000, ,103081020,440209
2003,Russian Federation,430000000000, ,144648257,1604243
2003,Saudi Arabia,216000000000, ,22456649,327272
2003,South Africa,175000000000, ,46719196,404459
2003,Turkey,312000000000, ,66089402,218524
2003,United Kingdom,2040000000000, ,59647577,540006
2003,United States,11500000000000, ,290107933,5675702
2004,Argentina,165000000000, ,38491972,157589
2004,Australia,612000000000, ,20127400,342699
2004,Brazil,669000000000, ,184006481,337826
2004,Canada,1020000000000, ,31940655,552199
2004,China,1960000000000, ,1296075000,5233539
2004,France,2120000000000, ,62704895,383759
2004,Germany,2820000000000, ,82516260,816802
2004,India,709000000000, ,1129623456,1154320
2004,Indonesia,257000000000, ,223285676,337635
2004,Italy,1800000000000, ,57685327,473971
2004,Japan,4820000000000, ,127761000,1266010
2004,Mexico,782000000000, ,104514932,441309
2004,Russian Federation,591000000000, ,144067054,1602116
2004,Saudi Arabia,259000000000, ,23132682,395834
2004,South Africa,229000000000, ,47291610,450187
2004,Turkey,405000000000, ,67010930,225421
2004,United Kingdom,2400000000000, ,59987905,539240
2004,United States,12200000000000, ,292805298,5756075
2005,Argentina,199000000000, ,38892931,162111
2005,Australia,693000000000, ,20394800,350173
2005,Brazil,892000000000, ,186127103,347309
2005,Canada,1170000000000, ,32243753,557417
2005,China,2290000000000, ,1303720000,5896958
2005,France,2200000000000, ,63179351,385369
2005,Germany,2860000000000, ,82469422,797180
2005,India,820000000000, ,1147609927,1222563
2005,Indonesia,286000000000, ,226289470,341992
2005,Italy,1850000000000, ,57969484,473384
2005,Japan,4760000000000, ,127773000,1239255
2005,Mexico,877000000000, ,106005203,466362
2005,Russian Federation,764000000000, ,143518523,1615090
2005,Saudi Arabia,328000000000, ,23816183,397642
2005,South Africa,258000000000, ,47880601,416916
2005,Turkey,501000000000, ,67903469,237391
2005,United Kingdom,2530000000000, ,60401206,542580
2005,United States,13000000000000, ,295516599,5789727
2006,Argentina,233000000000, ,39289878,175437
2006,Australia,746000000000, ,20697900,365347
2006,Brazil,1110000000000, ,188167356,347668
2006,Canada,1320000000000, ,32571174,543820
2006,China,2750000000000, ,1311020000,6529292
2006,France,2320000000000, ,63621381,375765
2006,Germany,3000000000000, ,82376451,816472
2006,India,940000000000, ,1165486291,1303718
2006,Indonesia,365000000000, ,229318262,345120
2006,Italy,1940000000000, ,58143979,469347
2006,Japan,4530000000000, ,127854000,1231496
2006,Mexico,975000000000, ,107560153,479251
2006,Russian Federation,990000000000, ,143049528,1669262
2006,Saudi Arabia,377000000000, ,24498310,432739
2006,South Africa,272000000000, ,48489459,447895
2006,Turkey,552000000000, ,68756810,261615
2006,United Kingdom,2700000000000, ,60846820,541458
2006,United States,13800000000000, ,298379912,5697286
2007,Argentina,288000000000, ,39684295,175176
2007,Australia,853000000000, ,20827600,372090
2007,Brazil,1400000000000, ,190130443,363213
2007,Canada,1460000000000, ,32889025,554355
2007,China,3550000000000, ,1317885000,7030798
